project_code,project_name,agency,ministry,sector,state,app_date,start_date,target_doc,revised_doc,orig_cost,rev_cost,expenditure,progress,report_month,report_date,delay_months,cost_overrun_pct,cost_growth,financial_progress_pct,progress_gap,time_elapsed_months,planned_duration_months,time_utilization_pct,progress_velocity,expenditure_velocity,delay_slippage,risk_level,history_json,is_anomaly,anomaly_score
612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Karnataka,06/2023,01/2024,01/2026,09/2026,320.47,320.47,169.11,88.5,July,2026-07-01,8,0.0,0.0,52.76936998783037,-35.73063001216963,30.0,24.0,125.0,3.83,6.81,3,HIGH,"[{""month"": ""April 2026"", ""progress"": 77.0, ""expenditure"": 148.68}, {""month"": ""May 2026"", ""progress"": 81.5, ""expenditure"": 158.36}, {""month"": ""June 2026"", ""progress"": 85.0, ""expenditure"": 160.21}, {""month"": ""July 2026"", ""progress"": 88.5, ""expenditure"": 169.11}]",0,0.166
612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Karnataka,06/2023,02/2024,02/2026,08/2026,322.45,322.45,240.99,97.0,July,2026-07-01,6,0.0,0.0,74.73716855326408,-22.26283144673592,29.0,24.0,120.83333333333331,3.33,12.16,2,MEDIUM,"[{""month"": ""April 2026"", ""progress"": 87.0, ""expenditure"": 204.5}, {""month"": ""May 2026"", ""progress"": 91.0, ""expenditure"": 214.29}, {""month"": ""June 2026"", ""progress"": 95.0, ""expenditure"": 220.72}, {""month"": ""July 2026"", ""progress"": 97.0, ""expenditure"": 240.99}]",0,0.1748
612789,"Development of additional RESA on either end on Runway 10-28  at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Kerala,06/2023,02/2024,09/2025,12/2026,484.57,484.57,242.51,65.8,July,2026-07-01,15,0.0,0.0,50.04643291990837,-15.753567080091628,29.0,19.0,152.63157894736844,2.27,12.64,0,HIGH,"[{""month"": ""April 2026"", ""progress"": 59.0, ""expenditure"": 204.6}, {""month"": ""May 2026"", ""progress"": 62.5, ""expenditure"": 227.5}, {""month"": ""June 2026"", ""progress"": 64.5, ""expenditure"": 227.5}, {""month"": ""July 2026"", ""progress"": 65.8, ""expenditure"": 242.51}]",0,0.1784
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Ladakh,07/2018,09/2018,09/2021,07/2026,480.0,640.0,512.55,88.0,July,2026-07-01,58,33.33333333333333,160.0,80.0859375,-7.9140625,94.0,36.0,261.11111111111114,3.03,3.58,0,HIGH,"[{""month"": ""April 2026"", ""progress"": 78.9, ""expenditure"": 501.81}, {""month"": ""May 2026"", ""progress"": 79.2, ""expenditure"": 506.13}, {""month"": ""June 2026"", ""progress"": 83.4, ""expenditure"": 509.41}, {""month"": ""July 2026"", ""progress"": 88.0, ""expenditure"": 512.55}]",0,0.0992
706718,C/o NITB Imphal Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Manipur,11/2021,07/2022,07/2024,12/2026,499.0,499.0,212.17,53.14,July,2026-07-01,29,0.0,0.0,42.51903807615231,-10.620961923847696,48.0,24.0,200.0,0.82,3.39,0,HIGH,"[{""month"": ""April 2026"", ""progress"": 50.69, ""expenditure"": 201.99}, {""month"": ""May 2026"", ""progress"": 51.65, ""expenditure"": 206.61}, {""month"": ""June 2026"", ""progress"": 52.64, ""expenditure"": 206.83}, {""month"": ""July 2026"", ""progress"": 53.14, ""expenditure"": 212.17}]",0,0.1725
611570,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Multi-States (Karnataka, Maharashtra, Telangana, Uttar Pradesh)",12/2020,10/2022,09/2025,08/2026,500.48,500.48,399.77,80.0,July,2026-07-01,11,0.0,0.0,79.87731777493605,-0.1226822250639543,45.0,35.0,128.57142857142858,0.67,6.19,0,MEDIUM,"[{""month"": ""April 2026"", ""progress"": 78.0, ""expenditure"": 381.2}, {""month"": ""May 2026"", ""progress"": 79.0, ""expenditure"": 393.31}, {""month"": ""June 2026"", ""progress"": 80.0, ""expenditure"": 398.75}, {""month"": ""July 2026"", ""progress"": 80.0, ""expenditure"": 399.77}]",0,0.1855
618977,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Rajasthan,08/2025,10/2025,10/2027,11/2027,1507.0,1507.0,81.41,13.6,July,2026-07-01,1,0.0,0.0,5.402123424021234,-8.197876575978766,9.0,24.0,37.5,0.27,13.67,0,MEDIUM,"[{""month"": ""April 2026"", ""progress"": 12.8, ""expenditure"": 40.4}, {""month"": ""May 2026"", ""progress"": 13.1, ""expenditure"": 46.66}, {""month"": ""June 2026"", ""progress"": 13.3, ""expenditure"": 71.13}, {""month"": ""July 2026"", ""progress"": 13.6, ""expenditure"": 81.41}]",0,0.1798
701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Rajasthan,06/2022,05/2023,03/2026,06/2026,480.0,480.0,348.2,100.0,July,2026-07-01,3,0.0,0.0,72.54166666666666,-27.458333333333343,38.0,34.0,111.76470588235294,0.88,2.75,2,MEDIUM,"[{""month"": ""April 2026"", ""progress"": 97.35, ""expenditure"": 339.96}, {""month"": ""May 2026"", ""progress"": 97.85, ""expenditure"": 345.45}, {""month"": ""June 2026"", ""progress"": 100.0, ""expenditure"": 348.01}, {""month"": ""July 2026"", ""progress"": 100.0, ""expenditure"": 348.2}]",0,0.1825
701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Rajasthan,06/2023,11/2023,03/2026,09/2026,887.0,887.0,587.22,78.71,July,2026-07-01,6,0.0,0.0,66.20293122886133,-12.507068771138664,32.0,28.0,114.28571428571428,3.33,21.2,0,MEDIUM,"[{""month"": ""April 2026"", ""progress"": 68.71, ""expenditure"": 523.61}, {""month"": ""May 2026"", ""progress"": 71.71, ""expenditure"": 538.0}, {""month"": ""June 2026"", ""progress"": 74.71, ""expenditure"": 565.41}, {""month"": ""July 2026"", ""progress"": 78.71, ""expenditure"": 587.22}]",0,0.1774
619172,MADANNAGAR OCP 12 MTY - MDO,SECL - CIL,Ministry of Coal,Coal,Chhattisgarh,12/2024,12/2024,03/2033,-,1859.19,1859.19,0.45,0.0,July,2026-07-01,0,0.0,0.0,0.0242040888774143,0.0242040888774143,19.0,99.0,19.19191919191919,0.0,0.0,0,LOW,"[{""month"": ""April 2026"", ""progress"": 0.0, ""expenditure"": 0.45}, {""month"": ""May 2026"", ""progress"": 0.0, ""expenditure"": 0.45}, {""month"": ""June 2026"", ""progress"": 0.0, ""expenditure"": 0.45}, {""month"": ""July 2026"", ""progress"": 0.0, ""expenditure"": 0.45}]",0,0.1655
400018,HURA C OCP,Eastern Coal Fields Limited [ECL],Ministry of Coal,Coal,Jharkhand,08/2022,08/2022,03/2029,-,859.41,859.41,455.95,63.3,July,2026-07-01,0,0.0,0.0,53.05383926181916,-10.24616073818084,47.0,79.0,59.49367088607595,0.03,0.23,0,LOW,"[{""month"": ""April 2026"", ""progress"": 63.22, ""expenditure"": 455.25}, {""month"": ""May 2026"", ""progress"": 63.22, ""expenditure"": 455.25}, {""month"": ""June 2026"", ""progress"": 63.3, ""expenditure"": 455.95}, {""month"": ""July 2026"", ""progress"": 63.3, ""expenditure"": 455.95}]",0,0.1817
400073,KONAR EXPANSION OCP,CCL - CIL,Ministry of Coal,Coal,Jharkhand,01/2022,01/2022,03/2032,-,674.65,674.65,175.59,50.78,July,2026-07-01,0,0.0,0.0,26.02682872600608,-24.75317127399392,54.0,122.0,44.26229508196721,-0.9,-86.02,0,LOW,"[{""month"": ""April 2026"", ""progress"": 53.47, ""expenditure"": 433.64}, {""month"": ""May 2026"", ""progress"": 46.25, ""expenditure"": 433.64}, {""month"": ""June 2026"", ""progress"": 50.78, ""expenditure"": 172.3}, {""month"": ""July 2026"", ""progress"": 50.78, ""expenditure"": 175.59}]",0,0.1131
400074,KARO EXPANSION OCP,CCL - CIL,Ministry of Coal,Coal,Jharkhand,01/2022,01/2022,03/2029,-,849.31,849.31,237.61,23.28,July,2026-07-01,0,0.0,0.0,27.976828248813742,4.696828248813745,54.0,86.0,62.7906976744186,-0.1,-17.28,0,LOW,"[{""month"": ""April 2026"", ""progress"": 23.57, ""expenditure"": 289.45}, {""month"": ""May 2026"", ""progress"": 22.38, ""expenditure"": 289.45}, {""month"": ""June 2026"", ""progress"": 23.28, ""expenditure"": 208.28}, {""month"": ""July 2026"", ""progress"": 23.28, ""expenditure"": 237.61}]",0,0.1662
400136,SANGHMITRA OC,CCL - CIL,Ministry of Coal,Coal,Jharkhand,03/2024,03/2024,03/2032,-,2660.0,2660.0,17.03,16.77,July,2026-07-01,0,0.0,0.0,0.6402255639097745,-16.129774436090226,28.0,96.0,29.166666666666668,0.0,0.31,0,LOW,"[{""month"": ""April 2026"", ""progress"": 16.77, ""expenditure"": 16.1}, {""month"": ""May 2026"", ""progress"": 16.77, ""expenditure"": 17.03}, {""month"": ""June 2026"", ""progress"": 16.77, ""expenditure"": 17.4}, {""month"": ""July 2026"", ""progress"": 16.77, ""expenditure"": 17.03}]",0,0.1688
400138,CHANDRAGUPT OCP,CCL - CIL,Ministry of Coal,Coal,Jharkhand,08/2020,08/2020,03/2032,-,973.5,973.5,772.12,25.11,July,2026-07-01,0,0.0,0.0,79.31381612737545,54.20381612737545,71.0,139.0,51.07913669064749,0.08,110.46,0,HIGH,"[{""month"": ""April 2026"", ""progress"": 24.86, ""expenditure"": 440.75}, {""month"": ""May 2026"", ""progress"": 25.03, ""expenditure"": 440.75}, {""month"": ""June 2026"", ""progress"": 25.11, ""expenditure"": 772.12}, {""month"": ""July 2026"", ""progress"": 25.11, ""expenditure"": 772.12}]",0,0.0583
400139,KOTRE BASANTPUR PACHMO OCP,Ministry of Coal,Ministry of Coal,Coal,Jharkhand,08/2020,08/2020,03/2032,-,625.4,625.4,456.48,45.78,July,2026-07-01,0,0.0,0.0,72.99008634473937,27.210086344739366,71.0,139.0,51.07913669064749,-0.72,0.18,0,HIGH,"[{""month"": ""April 2026"", ""progress"": 47.95, ""expenditure"": 455.95}, {""month"": ""May 2026"", ""progress"": 45.52, ""expenditure"": 456.48}, {""month"": ""June 2026"", ""progress"": 45.78, ""expenditure"": 456.48}, {""month"": ""July 2026"", ""progress"": 45.78, ""expenditure"": 456.48}]",0,0.1372
400142,Pachwara South Coal Block,NLC India Limited,Ministry of Coal,Coal,Jharkhand,03/2016,11/2019,09/2028,-,2242.9,2242.9,1432.45,87.0,July,2026-07-01,0,0.0,0.0,63.865977083240445,-23.134022916759555,80.0,106.0,75.47169811320755,0.0,22.21,0,LOW,"[{""month"": ""April 2026"", ""progress"": 87.0, ""expenditure"": 1365.83}, {""month"": ""May 2026"", ""progress"": 87.0, ""expenditure"": 1388.09}, {""month"": ""June 2026"", ""progress"": 87.0, ""expenditure"": 1422.51}, {""month"": ""July 2026"", ""progress"": 87.0, ""expenditure"": 1432.45}]",0,0.1788
400150,RPR MAGADH EXP OCP,Ministry of Coal,Ministry of Coal,Coal,Jharkhand,08/2020,08/2020,03/2028,-,6964.33,6964.33,2299.77,39.42,July,2026-07-01,0,0.0,0.0,33.02212847467022,-6.397871525329784,71.0,91.0,78.02197802197803,-0.26,203.79,0,LOW,"[{""month"": ""April 2026"", ""progress"": 40.21, ""expenditure"": 1688.4}, {""month"": ""May 2026"", ""progress"": 39.3, ""expenditure"": 1692.65}, {""month"": ""June 2026"", ""progress"": 39.42, ""expenditure"": 2298.45}, {""month"": ""July 2026"", ""progress"": 39.42, ""expenditure"": 2299.77}]",0,0.129
400151,NORTH URIMARI EXPANSION OCP,Ministry of Coal,Ministry of Coal,Coal,Jharkhand,07/2021,07/2021,03/2029,-,634.3,634.3,598.34,68.9,July,2026-07-01,0,0.0,0.0,94.33075831625416,25.430758316254146,60.0,92.0,65.21739130434783,-0.83,-2.45,0,MEDIUM,"[{""month"": ""April 2026"", ""progress"": 71.38, ""expenditure"": 605.7}, {""month"": ""May 2026"", ""progress"": 68.75, ""expenditure"": 606.01}, {""month"": ""June 2026"", ""progress"": 68.9, ""expenditure"": 598.32}, {""month"": ""July 2026"", ""progress"": 68.9, ""expenditure"": 598.34}]",0,0.1346
400153,EPR ROHINI - KARKETTA OCP,Ministry of Coal,Ministry of Coal,Coal,Jharkhand,01/2021,01/2021,03/2028,-,995.57,995.57,85.34,24.02,July,2026-07-01,0,0.0,0.0,8.571973844129493,-15.448026155870506,66.0,86.0,76.74418604651163,0.39,0.13,0,LOW,"[{""month"": ""April 2026"", ""progress"": 22.84, ""expenditure"": 84.94}, {""month"": ""May 2026"", ""progress"": 22.54, ""expenditure"": 85.34}, {""month"": ""June 2026"", ""progress"": 24.02, ""expenditure"": 85.34}, {""month"": ""July 2026"", ""progress"": 24.02, ""expenditure"": 85.34}]",0,0.1826
400154,EPR PUNDI OCP,Ministry of Coal,Ministry of Coal,Coal,Jharkhand,11/2020,11/2020,03/2027,-,639.6,639.6,14.78,11.24,July,2026-07-01,0,0.0,0.0,2.310819262038774,-8.929180737961225,68.0,76.0,89.47368421052632,0.35,-73.93,0,LOW,"[{""month"": ""April 2026"", ""progress"": 10.19, ""expenditure"": 236.58}, {""month"": ""May 2026"", ""progress"": 10.19, ""expenditure"": 236.58}, {""month"": ""June 2026"", ""progress"": 11.24, ""expenditure"": 236.58}, {""month"": ""July 2026"", ""progress"": 11.24, ""expenditure"": 14.78}]",0,0.1372
400155,EPR ASHOK OC,Ministry of Coal,Ministry of Coal,Coal,Jharkhand,05/2021,05/2021,03/2031,-,2821.07,2821.07,186.02,27.74,July,2026-07-01,0,0.0,0.0,6.593951940221264,-21.14604805977873,62.0,118.0,52.54237288135594,-0.37,0.28,0,LOW,"[{""month"": ""April 2026"", ""progress"": 28.85, ""expenditure"": 185.19}, {""month"": ""May 2026"", ""progress"": 27.51, ""expenditure"": 186.02}, {""month"": ""June 2026"", ""progress"": 27.74, ""expenditure"": 186.02}, {""month"": ""July 2026"", ""progress"": 27.74, ""expenditure"": 186.02}]",0,0.1661
400156,EPR AMRAPALI OCP,CCL - CIL,Ministry of Coal,Coal,Jharkhand,02/2020,02/2020,03/2028,-,4983.57,4983.57,1838.82,43.69,July,2026-07-01,0,0.0,0.0,36.89764566365076,-6.792354336349241,77.0,97.0,79.38144329896907,-0.25,170.94,0,LOW,"[{""month"": ""April 2026"", ""progress"": 44.45, ""expenditure"": 1326.01}, {""month"": ""May 2026"", ""progress"": 43.58, ""expenditure"": 1326.08}, {""month"": ""June 2026"", ""progress"": 43.69, ""expenditure"": 1811.77}, {""month"": ""July 2026"", ""progress"": 43.69, ""expenditure"": 1838.82}]",0,0.1414
400160,RAJRAPPA RCE OCP,CCL - CIL,Ministry of Coal,Coal,Jharkhand,12/2009,12/2009,03/2016,03/2027,510.85,510.85,488.71,75.61,July,2026-07-01,132,0.0,0.0,95.66604678477049,20.056046784770476,199.0,75.0,265.3333333333333,-0.88,0.0,0,HIGH,"[{""month"": ""April 2026"", ""progress"": 78.25, ""expenditure"": 488.71}, {""month"": ""May 2026"", ""progress"": 76.99, ""expenditure"": 488.71}, {""month"": ""June 2026"", ""progress"": 75.61, ""expenditure"": 489.2}, {""month"": ""July 2026"", ""progress"": 75.61, ""expenditure"": 488.71}]",0,0.1072
400172,CHITRA EAST OC,ECL - CIL,Ministry of Coal,Coal,Jharkhand,08/2018,08/2018,03/2026,03/2028,513.99,513.99,276.0,53.03,July,2026-07-01,24,0.0,0.0,53.69754275375007,0.6675427537500696,95.0,91.0,104.3956043956044,0.0,12.04,0,HIGH,"[{""month"": ""April 2026"", ""progress"": 53.03, ""expenditure"": 239.88}, {""month"": ""May 2026"", ""progress"": 53.03, ""expenditure"": 240.12}, {""month"": ""June 2026"", ""progress"": 53.03, ""expenditure"": 274.28}, {""month"": ""July 2026"", ""progress"": 53.03, ""expenditure"": 276.0}]",0,0.1845
400352,JHARKHAND-LAIYO OCP,Ministry of Coal,Ministry of Coal,Coal,Jharkhand,08/2020,08/2020,03/2031,-,654.87,654.87,1.97,32.45,July,2026-07-01,0,0.0,0.0,0.3008230641195962,-32.149176935880405,71.0,127.0,55.90551181102362,0.07,-47.95,0,LOW,"[{""month"": ""April 2026"", ""progress"": 32.23, ""expenditure"": 145.81}, {""month"": ""May 2026"", ""progress"": 29.39, ""expenditure"": 145.81}, {""month"": ""June 2026"", ""progress"": 32.45, ""expenditure"": 0.43}, {""month"": ""July 2026"", ""progress"": 32.45, ""expenditure"": 1.97}]",0,0.1322
400425,MOONIDIH XV SEAM UG,BCCL - CIL,Ministry of Coal,Coal,Jharkhand,08/2011,08/2011,03/2019,09/2026,1230.27,1230.27,800.25,84.02,July,2026-07-01,90,0.0,0.0,65.0466970664976,-18.9733029335024,179.0,91.0,196.7032967032967,0.52,30.15,1,HIGH,"[{""month"": ""April 2026"", ""progress"": 82.45, ""expenditure"": 709.81}, {""month"": ""May 2026"", ""progress"": 82.62, ""expenditure"": 742.8}, {""month"": ""June 2026"", ""progress"": 84.02, ""expenditure"": 796.31}, {""month"": ""July 2026"", ""progress"": 84.02, ""expenditure"": 800.25}]",0,0.1694
611864,AMALAGAMATED NTST KUJAMA OCP 8.5MTY,Bharat Coking Coal Limited (BCCL,Ministry of Coal,Coal,Jharkhand,01/2023,01/2023,03/2030,-,4011.85,4011.85,414.97,31.16,July,2026-07-01,0,0.0,0.0,10.343607064072684,-20.816392935927315,42.0,86.0,48.837209302325576,0.49,0.01,0,LOW,"[{""month"": ""April 2026"", ""progress"": 29.7, ""expenditure"": 414.93}, {""month"": ""May 2026"", ""progress"": 30.92, ""expenditure"": 414.93}, {""month"": ""June 2026"", ""progress"": 30.92, ""expenditure"": 414.97}, {""month"": ""July 2026"", ""progress"": 31.16, ""expenditure"": 414.97}]",0,0.174
613808,MURAIDIH UG PROJECT,BCCL - CIL,Ministry of Coal,Coal,Jharkhand,02/2011,02/2011,04/2014,12/2026,339.87,339.87,191.14,70.47,July,2026-07-01,152,0.0,0.0,56.23915026333598,-14.23084973666402,185.0,38.0,486.84210526315786,0.0,0.05,0,HIGH,"[{""month"": ""April 2026"", ""progress"": 70.47, ""expenditure"": 191.0}, {""month"": ""May 2026"", ""progress"": 70.47, ""expenditure"": 191.14}, {""month"": ""June 2026"", ""progress"": 70.47, ""expenditure"": 191.14}, {""month"": ""July 2026"", ""progress"": 70.47, ""expenditure"": 191.14}]",0,0.0559
615349,TAPIN SOUTH EXPN,CCL - CIL,Ministry of Coal,Coal,Jharkhand,11/2020,11/2020,03/2028,-,230.41,230.41,22.02,23.67,July,2026-07-01,0,0.0,0.0,9.556876871663556,-14.113123128336444,68.0,88.0,77.27272727272727,0.3,0.0,0,LOW,"[{""month"": ""April 2026"", ""progress"": 22.76, ""expenditure"": 22.02}, {""month"": ""May 2026"", ""progress"": 23.24, ""expenditure"": 22.02}, {""month"": ""June 2026"", ""progress"": 23.67, ""expenditure"": 40.02}, {""month"": ""July 2026"", ""progress"": 23.67, ""expenditure"": 22.02}]",0,0.1831
615822,SIRKA OC,CCL - CIL,Ministry of Coal,Coal,Jharkhand,05/2020,05/2020,03/2028,-,183.18,183.18,89.92,56.47,July,2026-07-01,0,0.0,0.0,49.0883284201332,-7.381671579866797,74.0,94.0,78.72340425531915,-2.35,-16.93,0,LOW,"[{""month"": ""April 2026"", ""progress"": 63.52, ""expenditure"": 140.72}, {""month"": ""May 2026"", ""progress"": 56.02, ""expenditure"": 140.72}, {""month"": ""June 2026"", ""progress"": 56.47, ""expenditure"": 280.03}, {""month"": ""July 2026"", ""progress"": 56.47, ""expenditure"": 89.92}]",0,0.1318
